query,context,label,source,query_length
emma rose kenney roll blue sky studio produced film earned much money,"['Blue Sky UAV', 'Demand-pull inflation', 'Adoption proceedings of Emma Rose']",A,HotpotQA,82
What color is the sky?,Basic knowledge or simple fact question.,S,synthetic,22
Evaluate the effectiveness of international policies in reducing carbon emissions.,"Complex, analytical or critical reasoning required.",A,synthetic,82
What is 5*6?,Basic knowledge or simple fact question.,S,synthetic,12
year series published recount adventure anne shirley published scholastic press,"['Anne of Green Gables (1934 film)', 'Twitches (novel series)', 'Looking for Anne of Green Gables']",A,HotpotQA,114
summarize article cnn -- tied texas. sens. hillary clinton barack obama running tight race texas. new cnn opinion research corp. poll suggests battle democratic presidential nomination sens. hillary clinton new york barack obama illinois statistical,"Texas voters go to the polls March 4 .
Sen. John McCain is the clear front-runner on the Republican side .
Sen. Barack Obama is on an eight-state winning streak .
Some strategists see Texas as a must-win state for Sen. Hillary Clinton .",M,CNN,324
Why do we see different phases of the moon?,Moderate explanation or descriptive answer required.,M,synthetic,43
What is 5*6?,Basic knowledge or simple fact question.,S,synthetic,12
"summarize article london, england -- saver leading uk mortgage bank lined second day empty account saturday, day lender bailed bank england heavily slashing profit forecasts. fearful customer line withdraw cash northern rock branch southeas","Savers at leading UK mortgage bank lined up to empty their accounts .
Northern Rock was bailed out by the Bank of England a day earlier .
Reassurances that banks was safe have gone unheeded by many .",M,CNN,324
What is 2+2?,Basic knowledge or simple fact question.,S,synthetic,12
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
What color is the sky?,Basic knowledge or simple fact question.,S,synthetic,22
What is the capital of Egypt?,Basic knowledge or simple fact question.,S,synthetic,29
american aircraft penetrator modified helicopter produced nation military,"['Bell UH-1 Iroquois', 'Aérospatiale SA 321 Super Frelon', 'Harbin Z-20']",A,HotpotQA,99
death caused protest,"Following the death of Freddie Gray, Beyoncé and Jay-Z, among other notable figures, met with his family. After the imprisonment of protesters of Gray's death, Beyoncé and Jay-Z donated thousands of dollars to bail them out.",S,SQuAD,32
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
"summarize article 1. für elise bob dylan wrote me, babe joan baez. written ludwig van beethoven . written girl probably not named elise. fact, far historian tell, beethoven even know elise. instead, song originally titled bagatelle minor based","Several famous songs written by men for a woman .
Beethoven's  ""Für Elise"" may have been written ""for Therese""
Songwriters make up stories about who is behind ""867-5309/Jenny""",M,CNN,324
"summarize article atlanta, georgia cnn -- 14 time. lebanon civil war full flood. one afternoon shell began raining neighborhood beirut. lebanese woman son run west beirut 1989 fighting rival forces. ran school screaming. forget th","CNN's Octavia Nasr: Will Lebanon's brief renaissance be snuffed out?
Nasr says Lebanon's key power players haven't changed since 1980s .
Nasr: Current struggle threatens to set Lebanon back 20 years .",M,CNN,324
song soundtrack better chart,"In July 2002, Beyoncé continued her acting career playing Foxxy Cleopatra alongside Mike Myers in the comedy film, Austin Powers in Goldmember, which spent its first weekend atop the US box office and grossed $73 million. Beyoncé released ""Work It Out"" as the lead single from its soundtrack album which entered the top ten in the UK, Norway, and Belgium. In 2003, Beyoncé starred opposite Cuba Gooding, Jr., in the musical comedy The Fighting Temptations as Lilly, a single mother whom Gooding's cha",S,SQuAD,62
Examine the philosophical implications of quantum mechanics on free will.,"Complex, analytical or critical reasoning required.",A,synthetic,73
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
"summarize article washington cnn -- former terrorist suspect detained united state tortured, according medical examination detailed report released wednesday human right group. u.s. serviceman dog watch detainee abu ghraib prison iraq 2003. massachusetts-base","Report reveals medical evidence of torture, including beatings and electric shock .
Study calls on U.S. government to issue a formal apology to tortured detainees .
Rights group gives list of demands to Bush administration .",M,CNN,324
summarize article real simple -- five great way enjoy summer. lazing hammock one best way spend summer evening. best way cut jean short -- better way declare start summer key cutting jean not go short soon. slip jean,"Real Simple tips can add up to great summer .
Best way to catch fireflies starts with easiest to catch .
Tip on how not to look like a gladiator when wearing espadrilles .
There is a graceful way to get in and out of a hammock .",M,CNN,324
Evaluate the effectiveness of international policies in reducing carbon emissions.,"Complex, analytical or critical reasoning required.",A,synthetic,82
What is 2+2?,Basic knowledge or simple fact question.,S,synthetic,12
What color is the sky?,Basic knowledge or simple fact question.,S,synthetic,22
Examine the philosophical implications of quantum mechanics on free will.,"Complex, analytical or critical reasoning required.",A,synthetic,73
Who wrote Hamlet?,Basic knowledge or simple fact question.,S,synthetic,17
Evaluate the effectiveness of international policies in reducing carbon emissions.,"Complex, analytical or critical reasoning required.",A,synthetic,82
What is 5*6?,Basic knowledge or simple fact question.,S,synthetic,12
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
invented type script used autograph,"['Gupta script', 'Coptic alphabet', 'Modi alphabet']",A,HotpotQA,51
"summarize article buenos aires, argentina -- juan roman riquelme scored twice argentina beat bolivia 3-0 notch third successive victory south american qualifier 2010 world cup saturday. juan roman riquelme celebrates scoring first goal argentina win bolivia. midfi","Argentina beat Bolivia 3-0 in South American qualifier for 2010 World Cup .
Juan Roman Riquelme nets twice as Argentina win third successive match .
Ecuador coach Luis Fernando Suarez quits after 5-1 loss against Paraguay .",M,CNN,324
What are the main causes of World War I?,Moderate explanation or descriptive answer required.,M,synthetic,40
What are the main causes of World War I?,Moderate explanation or descriptive answer required.,M,synthetic,40
"summarize article caracas, venezuela cnn -- price sin rose monday venezuela president hugo chavez campaign make venezuelan cut back drinking smoking. everyone shocked, said leonora marino, owner bodegon marino valencia, venezuela, west caracas. monday evening,","Venezuelan government hikes taxes on alcohol and cigarettes Monday .
Ten percent price increase on alcohol and 20 percent increase on cigarettes .
Stores near schools, churches and cultural centers cannot sell alcohol .
Chavez plans to increase taxes on luxury goods, including Hummers .",M,CNN,324
directed movie olympia dukakis academy award,"['Mafia!', 'Olympia Dukakis', 'Moonstruck']",A,HotpotQA,69
Why do we see different phases of the moon?,Moderate explanation or descriptive answer required.,M,synthetic,43
"summarize article cnn -- two russian bomber landed venezuelan airfield carry training flight several days, russian defense ministry said wednesday. russia tupolev tu-160, pictured 2003, long-range strategic bomber. tupolev tu-160 strategic bomber landed","Moscow: Russian bombers using Venezuela airfield to train over neutral waters .
Russian defense ministry spokesman: NATO fighters followed bombers .
News agency: Venezuelan president says he'd welcome Russian air force .
Move comes amid growing tension between Washington and Moscow .",M,CNN,324
How many days in a week?,Basic knowledge or simple fact question.,S,synthetic,24
"summarize article new delhi, india cnn -- president george w. bush called india prime minister thursday push proposed nuclear partnership sparked unsuccessful no-confidence vote indian leader week, white house spokesman said. prime minister manmohan singh confidence vote desp","President Bush calls India's PM to push a proposed nuclear partnership .
Indian government won confidence vote in face of anger over U.S. nuclear deal .
Five members of parliament serving prison sentences were freed to vote .",M,CNN,324
Examine the philosophical implications of quantum mechanics on free will.,"Complex, analytical or critical reasoning required.",A,synthetic,73
many student housing area reserved notre dame graduate student,"About 80% of undergraduates and 20% of graduate students live on campus. The majority of the graduate students on campus live in one of four graduate housing complexes on campus, while all on-campus undergraduates live in one of the 29 residence halls. Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms. The university maintains a visiting policy (known as parietal hours) for those students who live in dormitories, sp",S,SQuAD,79
"summarize article cnn -- armenian president robert kocharian declared state emergency saturday night day clash police protesters, spokeswoman armenian foreign ministry said. opposition supporter wave armenian flag protest rally yerevan, armenia, saturday.","NEW: Protest moves after crackdown at Freedom Square .
Order sought after protests over last month's election turn violent .
Demonstrators say the election was fraudulent .
State of emergency could last until March 20, official says .",M,CNN,324
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
"summarize article la vegas, nevada cnn -- former football star o.j. simpson held without bail arrest robbery assault charges, police announced late sunday. police released mug shot o.j. simpson arrest. simpson accused directed several men alleged","No bail for ex-NFL star accused of directing men in alleged armed robbery .
Simpson faces charges of robbery, assault, burglary and conspiracy .
Alleged robbery involved sports-related items, police say .
Simpson arrested Sunday in Las Vegas, but he says items were his .",M,CNN,324
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
"summarize article cnn -- malaysian opposition leader anwar ibrahim came hiding monday, say damaging evidence prof senior member government faked evidence sodomy charge him. malaysian opposition leader anwar ibrahim say proof sodomy charge fabr","Malaysian opposition leader Anwar Ibrahim came out of hiding Monday .
Says he can prove government members faked evidence for sodomy charges .
Anwar also says he has evidence of threats against his life .",M,CNN,324
"summarize article brazilian coach zico leaving turkish club fenerbahce, failing reach agreement new contract. zico guided fenerbahce league super cup double intheir centenary year . fenerbahce recently suspended negotiation fresh deal zico reportedly high demand","Coach Zico is leaving Turkish club Fenerbahce .
He has been unable to reach agreement over a new contract .
Media reports suggest that Spain coach Luis Aragones will replace him .",M,CNN,324
What is the capital of Egypt?,Basic knowledge or simple fact question.,S,synthetic,29
many people killed van bomb man inga bejer engh prosecuted high profile 2012 trial,"['LulzSec', 'Inga Bejer Engh', 'Anders Behring Breivik']",A,HotpotQA,109
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
"summarize article celebrate 20th year publication, cooking light wanted know place best fit philosophy eat smart, fit, live well. using statistic organization center disease control prevention, u.s. department agriculture, zagat survey, ra","Cooking Light magazine marks 20th anniversary by naming top 20 U.S. cities .
15 criteria were grouped into categories--eat smart, be fit, live well .
Seattle tops list with lots of fresh local foods, pedestrian-friendly streets .",M,CNN,324
"beyoncé become highest paid black musician, ever","Forbes magazine began reporting on Beyoncé's earnings in 2008, calculating that the $80 million earned between June 2007 to June 2008, for her music, tour, films and clothing line made her the world's best-paid music personality at the time, above Madonna and Celine Dion. They placed her fourth on the Celebrity 100 list in 2009 and ninth on the ""Most Powerful Women in the World"" list in 2010. The following year, Forbes placed her eighth on the ""Best-Paid Celebrities Under 30"" list, having earned",S,SQuAD,62
How does the water cycle contribute to life on Earth?,Moderate explanation or descriptive answer required.,M,synthetic,53
"summarize article tampa, florida cnn -- witnessing rapid devastation cayman island coral reef diving since childhood, todd barber moved horror action. gave six-figure salary marketing consultant dedicated life restoring world ocean reef ecos","Most coral reefs are in danger, according to estimates from the Nature Conservancy .
The group says 500 million people rely on coral reefs for food .
Reef Balls are concrete spheres upon which a natural reef can grow .
The objects also help control beach erosion and stabilize shorelines .",M,CNN,324
"actress, model, singer born 1926 film golden hoof star","['Jane Withers', 'Meisa Kuroki', 'Hilda Sour']",A,HotpotQA,78
song beyonce sing first couple inaugural ball,"Beyoncé further expanded her acting career, starring as blues singer Etta James in the 2008 musical biopic, Cadillac Records. Her performance in the film received praise from critics, and she garnered several nominations for her portrayal of James, including a Satellite Award nomination for Best Supporting Actress, and a NAACP Image Award nomination for Outstanding Supporting Actress. Beyoncé donated her entire salary from the film to Phoenix House, an organization of rehabilitation centers for ",S,SQuAD,66
Examine the philosophical implications of quantum mechanics on free will.,"Complex, analytical or critical reasoning required.",A,synthetic,73
Why do we see different phases of the moon?,Moderate explanation or descriptive answer required.,M,synthetic,43
"summarize article cnn -- former government contract employee indicted charge stealing restricted nuclear energy-related material putting united state risk, department justice announced thursday. source say classified material taken east tennessee technology park.","NEW: Indictment: Man tried to pass nuclear filters to foreign agent .
NEW: Roy Lynn Oakley appears in court in Tennessee after surrendering .
NEW: Facility's role is to break down decommissioned equipment .
NEW: Lawyer: Oakley's job was to break machine parts into pieces, pitch them .",M,CNN,324
video game magazine part subsidiary chinese-owned venture capital organization,"['Quicksilver Ventures', 'Super PLAY', 'GamePro']",A,HotpotQA,95
"summarize article washington cnn -- u.s., turkish iraqi leader held talk monday kurdish rebel using northern iraq launchpad cross-border attack turkey. turkish troop patrol near border iraq monday. president bush chatted phone turkish prime minister recep tayyip","Bush: U.S., Turkey and Iraq must unite against PKK Kurdish separatists .
Iraqi Kurds are critical of both PKK and air attacks against them .
Turkey bombed alleged PKK sites in northern Iraq over the weekend .
PKK has spent 20 years fighting for autonomy in Turkey; uses Iraq as a base .",M,CNN,324
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
"summarize article washington cnn -- president bush top adviser homeland security stepping 4½ year job, white house said monday. fran townsend served four year homeland security adviser. homeland security adviser fran townsend turned letter resignation presid","Fran Townsend says she'll look for opportunities in the private sector .
Townsend has worked in government and law enforcement for 25 years .
Townsend will be on a panel searching for a replacement .",M,CNN,324
Evaluate the effectiveness of international policies in reducing carbon emissions.,"Complex, analytical or critical reasoning required.",A,synthetic,82
How does gravity affect objects differently on Earth and the Moon?,Moderate explanation or descriptive answer required.,M,synthetic,66
How many days in a week?,Basic knowledge or simple fact question.,S,synthetic,24
"summarize article phuket, thailand cnn -- relative 89 people killed sunday plane crash phuket continued arrive thai resort town tuesday try identify loved one remains. buddhist monk blesses wreckage one-two-go airline md-82 jet phuket airport tuesday.","Relatives of the 89 people killed in Thai air crash are still arriving in Phuket .
About 36 of the bodies have yet to be identified, according to Thai authorities .
U.S. Embassy in Bangkok confirms that five Americans were among the dead .
The investigation into what caused Sunday's crash is still continuing .",M,CNN,324
"summarize article editor note two-time oscar winner denzel washington joined mt. vernon boy girl club new york age 6 remained active member next 12 years. actor credit early year spent club changing direction life. since 1994, served","Denzel Washington: In a year of many issues, children are key priority .
Washington: Voters need to hold politicians accountable for helping young people .
Education, crime, obesity are all issues relating to youth, Washington says .
There are many ways to help, including Boys & Girls Clubs, he says .",M,CNN,324
beyoncé song song year 2010,"Beyoncé has won 20 Grammy Awards, both as a solo artist and member of Destiny's Child, making her the second most honored female artist by the Grammys, behind Alison Krauss and the most nominated woman in Grammy Award history with 52 nominations. ""Single Ladies (Put a Ring on It)"" won Song of the Year in 2010 while ""Say My Name"" and ""Crazy in Love"" had previously won Best R&B Song. Dangerously in Love, B'Day and I Am... Sasha Fierce have all won Best Contemporary R&B Album. Beyoncé set the recor",S,SQuAD,47
"city american rock band, released album march 19, 2012,","['The Future of the Gravity Boy', 'Temple of the Dog (album)', 'Port of Morrow (album)']",A,HotpotQA,88
construction hall started march 8th 2007 notre dame,"Since the construction of its oldest buildings, the university's physical plant has grown substantially. Over the years 29 residence halls have been built to accommodate students and each has been constructed with its own chapel. Many academic building were added together with a system of libraries, the most prominent of which is the Theodore Hesburgh Library, built in 1963 and today containing almost 4 million books. Since 2004, several buildings have been added, including the DeBartolo Perform",S,SQuAD,68
bryan lessard name beyoncé,"Her debut single, ""Crazy in Love"" was named VH1's ""Greatest Song of the 2000s"", NME's ""Best Track of the 00s"" and ""Pop Song of the Century"", considered by Rolling Stone to be one of the 500 greatest songs of all time, earned two Grammy Awards and is one of the best-selling singles of all time at around 8 million copies. The music video for ""Single Ladies (Put a Ring on It)"", which achieved fame for its intricate choreography and its deployment of jazz hands, was credited by the Toronto Star as h",S,SQuAD,42
"band members, saint motel curve","['ForPlay', 'Lior Goldenberg', 'My Type']",A,HotpotQA,50
Why do we see different phases of the moon?,Moderate explanation or descriptive answer required.,M,synthetic,43
oliver boot role moliere-based film first performed year,"['She Stoops to Conquer', 'Oliver Boot', 'Asko Concerto']",A,HotpotQA,87
Analyze the economic impacts of climate change on developing countries.,"Complex, analytical or critical reasoning required.",A,synthetic,71
Evaluate the effectiveness of international policies in reducing carbon emissions.,"Complex, analytical or critical reasoning required.",A,synthetic,82
Why do we see different phases of the moon?,Moderate explanation or descriptive answer required.,M,synthetic,43
Examine the philosophical implications of quantum mechanics on free will.,"Complex, analytical or critical reasoning required.",A,synthetic,73
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
What color is the sky?,Basic knowledge or simple fact question.,S,synthetic,22
How many days in a week?,Basic knowledge or simple fact question.,S,synthetic,24
"k. shivaram karanth type artist, combine dance, costum, makeup, dialogue","['Bettada Jeeva', 'Prema Karanth', 'Chomana Dudi']",A,HotpotQA,95
hall fame racing team created joint venture number player including quarterback 1 overall draft pick year,"['List of first overall MLS draft picks', '2011 NBA Development League Draft', '1976 NBA draft']",A,HotpotQA,153
Why do we see different phases of the moon?,Moderate explanation or descriptive answer required.,M,synthetic,43
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
How does the water cycle contribute to life on Earth?,Moderate explanation or descriptive answer required.,M,synthetic,53
What is the largest planet?,Basic knowledge or simple fact question.,S,synthetic,27
What is the capital of Egypt?,Basic knowledge or simple fact question.,S,synthetic,29
album spanish song come,"Beyoncé's music is generally R&B, but she also incorporates pop, soul and funk into her songs. 4 demonstrated Beyoncé's exploration of 90s-style R&B, as well as further use of soul and hip hop than compared to previous releases. While she almost exclusively releases English songs, Beyoncé recorded several Spanish songs for Irreemplazable (re-recordings of songs from B'Day for a Spanish-language audience), and the re-release of B'Day. To record these, Beyoncé was coached phonetically by American ",S,SQuAD,43
topshop located,"In October 2014, it was announced that Beyoncé with her management company Parkwood Entertainment would be partnering with London-based fashion retailer Topshop, in a new 50/50 split subsidiary business named Parkwood Topshop Athletic Ltd. The new division was created for Topshop to break into the activewear market, with an athletic, street wear brand being produced. ""Creating a partnership with Beyoncé, one of the most hard-working and talented people in the world, who spends many hours of her ",S,SQuAD,25
gave beyoncé pop songwriter year award 2001,"In 2001, she became the first African-American woman and second woman songwriter to win the Pop Songwriter of the Year award at the American Society of Composers, Authors, and Publishers Pop Music Awards. Beyoncé was the third woman to have writing credits on three number one songs (""Irreplaceable"", ""Grillz"" and ""Check on It"") in the same year, after Carole King in 1971 and Mariah Carey in 1991. She is tied with American songwriter Diane Warren at third with nine songwriting credits on number-on",S,SQuAD,62
Why do we see different phases of the moon?,Moderate explanation or descriptive answer required.,M,synthetic,43
Analyze the economic impacts of climate change on developing countries.,"Complex, analytical or critical reasoning required.",A,synthetic,71
How many days in a week?,Basic knowledge or simple fact question.,S,synthetic,24
type vegetation fothergilla clerodendrum common,"['Clerodendrum infortunatum', 'Lourensford Alluvium Fynbos', 'Vegetation and slope stability']",A,HotpotQA,73
What are the main causes of World War I?,Moderate explanation or descriptive answer required.,M,synthetic,40
How does the water cycle contribute to life on Earth?,Moderate explanation or descriptive answer required.,M,synthetic,53
percentage food served notre dame locally grown,"The University of Notre Dame has made being a sustainability leader an integral part of its mission, creating the Office of Sustainability in 2008 to achieve a number of goals in the areas of power generation, design and construction, waste reduction, procurement, food services, transportation, and water.As of 2012[update] four building construction projects were pursuing LEED-Certified status and three were pursuing LEED Silver. Notre Dame's dining services sources 40% of its food locally and o",S,SQuAD,66
statistician walter francis willcox received three degree local college massachusetts. college,"['The Three Degrees at The Royal Albert Hall', 'Walter Francis Willcox', 'Donald Gleason']",A,HotpotQA,112
What are the main causes of World War I?,Moderate explanation or descriptive answer required.,M,synthetic,40
What is 5*6?,Basic knowledge or simple fact question.,S,synthetic,12
"footballer played top division italy, spain, england germany known","['Pierre Womé', 'Carlos Barrionuevo', 'Sport in Munich']",A,HotpotQA,103
"summarize article cnn -- nasser al ansari ceo qatari diar, state-owned real estate investment company. famous purchase london chelsea barracks, qatari diar established 2004 qatar investment authority, support qatar growing economy co-ordinate country real est","Nasser al Ansari is CEO of Qatari Diar, Qatar's state-owned investment group .
Its global projects are part of nation's attempt to diversify investment portfolio .
Investment also aims to bring expertise and jobs to neighboring countries .",M,CNN,324
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
"co- satrred actor starred several television series five decades, including popular role bret maverick 1959 episode western comedy television series mean killer becomes jealous","['Maverick (film)', 'Shady Deal at Sunny Acres', 'Jack Kelly (actor)']",A,HotpotQA,241
"summarize article washington cnn -- sen. hillary clinton saturday officially suspend campaign presidency express support senator obama party unity, campaign said wednesday. sen. hillary clinton said tuesday let supporter party leader decide cours","NEW: Clinton will suspend presidential campaign Saturday, sources say .
Obama, Clinton spoke by phone Wednesday, but VP slot was not discussed .
Rangel says Clinton could've been ""far more generous"" on Tuesday night .
Obama says he's ""very confident"" he can unite Democrats by November .",M,CNN,324
beyonce mother start dereon,"Beyoncé and her mother introduced House of Deréon, a contemporary women's fashion line, in 2005. The concept is inspired by three generations of women in their family, the name paying tribute to Beyoncé's grandmother, Agnèz Deréon, a respected seamstress. According to Tina, the overall style of the line best reflects her and Beyoncé's taste and style. Beyoncé and her mother founded their family's company Beyond Productions, which provides the licensing and brand management for House of Deréon, a",S,SQuAD,45
"summarize article washington cnn -- ohio congressman david hobson latest republican announce exit house representatives, telling constituent sunday would step 2008 nine terms. rep. david hobson, shown february, lone republican rep. nancy pelosi mideast tri","Rep. David Hobson tells constituents he will step down in 2008 after nine terms .
Hobson is a senior member of a House Appropriations defense subcommittee .
GOP will be seeking to reclaim the congressional majorities it lost in 2006 .",M,CNN,324
announced beyonce co-owner tidal,"On March 30, 2015, it was announced that Beyoncé is a co-owner, with various other music artists, in the music streaming service Tidal. The service specialises in lossless audio and high definition music videos. Beyoncé's husband Jay Z acquired the parent company of Tidal, Aspiro, in the first quarter of 2015. Including Beyoncé and Jay-Z, sixteen artist stakeholders (such as Kanye West, Rihanna, Madonna, Chris Martin, Nicki Minaj and more) co-own Tidal, with the majority owning a 3% equity stake",S,SQuAD,60
What is the capital of Egypt?,Basic knowledge or simple fact question.,S,synthetic,29
year albert zahm begin comparing aeronatical model notre dame,"In 1882, Albert Zahm (John Zahm's brother) built an early wind tunnel used to compare lift to drag of aeronautical models. Around 1899, Professor Jerome Green became the first American to send a wireless message. In 1931, Father Julius Nieuwland performed early work on basic reactions that was used to create neoprene. Study of nuclear physics at the university began with the building of a nuclear accelerator in 1936, and continues now partly through a partnership in the Joint Institute for Nucle",S,SQuAD,78
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
What is the largest planet?,Basic knowledge or simple fact question.,S,synthetic,27
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
What is water made of?,Basic knowledge or simple fact question.,S,synthetic,22
best-seller ruta sepetys,"['La Ruta Moskitia Ecotourism Alliance', 'Salt to the Sea', 'La Ruta de los Conquistadores']",A,HotpotQA,40
author evolution theory crisis senior fellow institute,"['Charlie Catlett', 'Michael Intriligator', 'Michael Denton']",A,HotpotQA,83
"summarize article new york cnn -- sen. hillary clinton beside him, sen. barack obama emphasized challenge woman family overcome reached female voter fundraiser thursday. sens. barack obama hillary clinton appears together fundraiser new york thursday. new","Democratic nominee pledges to make it easier to balance work and family .
Obama urges equal pay, help with child and health care, paid sick leave .
Sen. Clinton joins Sen. Obama at ""Women for Obama"" fundraiser .
Many Clinton supporters still are not ready to back Obama .",M,CNN,324
What is the capital of Egypt?,Basic knowledge or simple fact question.,S,synthetic,29
What is water made of?,Basic knowledge or simple fact question.,S,synthetic,22
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
"summarize article cnn -- bangladesh police detained arrested 18,000 people last 11 day crackdown crime say aimed improving security ahead december elections. people arrested bangladesh police latest round-up arrive jail dhaka. human right group","Bangladesh police have detained or arrested 18,000 people in 11 days .
Human rights groups decry the actions as politically motivated .
Round-ups began after parties refused to cooperate with military government .",M,CNN,324
former wife american musician led band king rhythm,"['Kings of Rhythm', 'Fans (song)', 'Walls (Kings of Leon album)']",A,HotpotQA,82
What is 2+2?,Basic knowledge or simple fact question.,S,synthetic,12
Why do we see different phases of the moon?,Moderate explanation or descriptive answer required.,M,synthetic,43
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
"summarize article mental floss -- legend jack daniel reach way back moment born. unfortunately, nobody know exactly was. jack daniel believed memorable image, memorable whiskey. record show jasper newton jack daniel came world","To this day, nobody knows exactly when Jack Daniel was born .
Daniel's ""uniform"": formal knee-length coat, vest, tie, and a wide-brim planter's hat .
Origin of ""No. 7"": Daniel was assigned a district tax assessment number of 7 .
Daniel died from complications of gangrene from an injury to his foot .",M,CNN,324
Analyze the economic impacts of climate change on developing countries.,"Complex, analytical or critical reasoning required.",A,synthetic,71
Evaluate the effectiveness of international policies in reducing carbon emissions.,"Complex, analytical or critical reasoning required.",A,synthetic,82
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
Analyze the economic impacts of climate change on developing countries.,"Complex, analytical or critical reasoning required.",A,synthetic,71
"summarize article mogadishu, somalia cnn -- enraged crowd dragged body ethiopian soldier street somalia capital thursday gun battle islamic insurgent killed 19 people, witness reported. brutal echo 1993 battle involving somali militia body u","Ethiopian soldier dragged after battle with Islamic insurgents killed 19 people .
The body was bound hand and foot with wire and wrapped in a sheet of plastic .
Incident recalls 1993 dragging of U.S. soldier through streets of Mogadishu .
Washington is concerned Somalia could turn into a safe haven for terrorists .",M,CNN,324
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
"summarize article cnn -- atlanta falcon quarterback michael vick expected plead guilty federal conspiracy charge involving illegal dogfighting operation, according one attorneys. leah perry, sent photo son bobby dog rosie, think vick not allowed back field.","Michael Vick to take plea deal on dogfighting charges .
NFL expected to announce how the case will affect his career .
CNN.com readers shared their thoughts on Vick's future, send your I-Report .",M,CNN,324
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
song beyonce sing win competition age 7,"Beyoncé attended St. Mary's Elementary School in Fredericksburg, Texas, where she enrolled in dance classes. Her singing talent was discovered when dance instructor Darlette Johnson began humming a song and she finished it, able to hit the high-pitched notes. Beyoncé's interest in music and performing continued after winning a school talent show at age seven, singing John Lennon's ""Imagine"" to beat 15/16-year-olds. In fall of 1990, Beyoncé enrolled in Parker Elementary School, a music magnet sch",S,SQuAD,58
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
oldest van dyke family,"['Jerry Van Dyke', 'A New Year', 'Little Jost Van Dyke']",A,HotpotQA,41
Who wrote Hamlet?,Basic knowledge or simple fact question.,S,synthetic,17
person portrayed knute rockne 1940 movie knute rockne,"George Gipp was the school's legendary football player during 1916–20. He played semiprofessional baseball and smoked, drank, and gambled when not playing sports. He was also humble, generous to the needy, and a man of integrity. It was in 1928 that famed coach Knute Rockne used his final conversation with the dying Gipp to inspire the Notre Dame team to beat the Army team and ""win one for the Gipper."" The 1940 film, Knute Rockne, All American, starred Pat O'Brien as Knute Rockne and Ronald Reag",S,SQuAD,69
What is the capital of Egypt?,Basic knowledge or simple fact question.,S,synthetic,29
What color is the sky?,Basic knowledge or simple fact question.,S,synthetic,22
What color is the sky?,Basic knowledge or simple fact question.,S,synthetic,22
edited version two u reached number two billboard hot 100 behind song written composed donna weiss jackie deshannon spend many week no. 1 billboard hot 100,"['New Arrangement', 'Danity Kane discography', 'Bette Davis Eyes']",A,HotpotQA,222
Analyze the economic impacts of climate change on developing countries.,"Complex, analytical or critical reasoning required.",A,synthetic,71
What is the opposite of hot?,Basic knowledge or simple fact question.,S,synthetic,28
What are the main causes of World War I?,Moderate explanation or descriptive answer required.,M,synthetic,40
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
